"ORF" "tm" "gc" "length"
"80" "YPL086C" 60.005 50 20
"81" "YPL087W" 59.997 55 20
"82" "YPL088W" 60.011 50 20
"83" "YPL089C" 59.982 50 20
"84" "YPL090C" 59.973 50 20
"85" "YPL091W" 59.999 40 20
"86" "YPL092W" 60.096 50 20
"87" "YPL093W" 60.011 50 20
"88" "YPL094C" 59.993 45 20
"89" "YPL095C" 59.992 45 20
"90" "YPL096W" 59.969 55 20
"91" "YPL097W" 60.022 55 20
"92" "YPL098C" 59.962 50 20
"93" "YPL099C" 60.278 45 20
"94" "YPL100W" 59.971 45 20
"95" "YPL101W" 59.998 60 20
"96" "YPL103C" 59.995 45 20
"97" "YPL104W" 59.939 45 20
"98" "YPL105C" 59.988 45 20
"99" "YPL106C" 59.962 50 20
"100" "YPL107W" 60.005 50 20
"101" "YPL108W" 60.166 45 20
"102" "YPL109C" 59.995 45 20
"103" "YPL110C" 59.996 45 20
"104" "YPL111W" 60.012 50 20
"105" "YPL112C" 59.964 50 20
"106" "YPL113C" 59.914 50 20
"107" "YPL115C" 60.053 50 20
"108" "YPL116W" 60.051 45 20
"109" "YPL117C" 60.127 40 20
"110" "YPL118W" 60 50 20
"111" "YPL119C" 59.978 50 20
"112" "YPL120W" 60.003 55 20
"113" "YPL121C" 59.831 50 20
"114" "YPL122C" 59.959 55 20
"115" "YPL123C" 59.897 55 20
"116" "YPL124W" 59.67 50 20
"117" "YPL125W" 60.003 45 20
"118" "YPL126W" 60.06 50 20
"119" "YPL127C" 59.943 50 20
"120" "YPL128C" 60.019 50 20
"121" "YPL129W" 60.012 50 20
"122" "YPL130W" 60.01 55 20
"123" "YPL131W" 60.016 50 20
"124" "YPL132W" 59.98 40 20
"125" "YPL133C" 59.933 45 20
"126" "YPL134C" 60.011 55 20
"127" "YPL135W" 59.845 45 20
"128" "YPL137C" 60.044 45 20
"129" "YPL138C" 59.95 55 20
"130" "YPL139C" 59.975 40 20
"131" "YPL140C" 60.006 40 20
"132" "YPL141C" 60.011 50 20
"133" "YPL143W" 60.005 60 20
"134" "YPL144W" 59.923 50 20
"135" "YPL145C" 59.946 55 20
"136" "YPL146C" 59.727 45 20
"137" "YPL147W" 59.976 45 20
"138" "YPL148C" 60.12 55 20
"139" "YPL149W" 60.089 40 20
"140" "YPL150W" 59.996 45 20
"141" "YPL151C" 59.933 50 20
"142" "YPL152W" 60.126 45 20
"143" "YPL153C" 60.008 55 20
"144" "YPL154C" 59.966 50 20
"145" "YPL155C" 59.945 40 20
"146" "YPL156C" 60.015 55 20
"147" "YPL157W" 59.94 55 20
"148" "YPL158C" 59.917 50 20
"149" "YPL159C" 60.051 45 20
"150" "YPL160W" 59.967 45 20
"151" "YPL161C" 59.981 50 20
"152" "YPL162C" 59.996 45 20
"153" "YPL163C" 60.06 60 20
"154" "YPL164C" 59.971 50 20
"155" "YPL165C" 59.992 40 20
"156" "YPL166W" 59.928 45 20
"157" "YPL167C" 59.993 45 20
"158" "YPL168W" 59.904 50 20
"159" "YPL169C" 59.971 45 20
"160" "YPL170W" 59.937 40 20
"161" "YPL171C" 60.011 50 20
"162" "YPL172C" 60.031 45 20
"163" "YPL173W" 59.993 50 20
"164" "YPL174C" 60.193 35 20
"165" "YPL175W" 59.989 55 20
"166" "YPL176C" 60.009 45 20
"167" "YPL177C" 59.973 50 20
"168" "YPL178W" 59.992 50 20
"169" "YPL179W" 60.045 40 20
"170" "YPL180W" 59.988 45 20
"171" "YPL181W" 60.015 55 20
"172" "YPL183C" 59.976 45 20
"173" "YPL184C" 60 50 20
"174" "YPL186C" 59.995 45 20
"175" "YPL187W" 59.964 45 20
"176" "YPL188W" 59.991 45 20
"177" "YPL189W" 59.982 50 20
"178" "YPL190C" 59.973 50 20
"179" "YPL191C" 59.967 50 20
"180" "YPL192C" 59.975 45 20
"181" "YPL193W" 59.992 45 20
"182" "YPL194W" 59.9 40 20
"183" "YPL195W" 60.05 50 20
"184" "YPL196W" 59.911 50 20
"185" "YPL198W" 60.081 50 20
"186" "YPL199C" 59.978 45 20
"187" "YPL200W" 60.051 45 20
"188" "YPL201C" 60.011 40 20
"189" "YPL202C" 60.088 50 20
"190" "YPL203W" 59.953 50 20
"191" "YPL204W" 60.074 50 20
"192" "YPL206C" 60.118 55 20
"193" "YPL207W" 59.978 45 20
"194" "YPL208W" 59.924 45 20
"195" "YPL209C" 59.966 55 20
"196" "YPL210C" 59.972 40 20
"197" "YPL211W" 60.075 50 20
"198" "YPL212C" 60.015 50 20
"199" "YPL213W" 60.149 45 20
"200" "YPL214C" 59.995 45 20
"201" "YPL215W" 60.032 50 20
"202" "YPL216W" 60.048 45 20
"203" "YPL217C" 60.066 50 20
"204" "YPL218W" 59.971 45 20
"205" "YPL219W" 60 50 20
"206" "YPL220W" 60.005 50 20
"207" "YPL221W" 60.003 45 20
"208" "YPL222W" 59.988 45 20
"209" "YPL223C" 59.876 50 20
"210" "YPL224C" 60.005 50 20
"211" "YPL225W" 60.559 55 20
"212" "YPL226W" 59.997 55 20
"213" "YPL227C" 59.96 50 20
"214" "YPL228W" 59.933 45 20
"215" "YPL229W" 59.97 40 20
"216" "YPL230W" 60.029 50 20
"217" "YPL231W" 59.985 45 20
"218" "YPL232W" 60.032 50 20
"219" "YPL233W" 59.976 45 20
"220" "YPL234C" 60.036 45 20
"221" "YPL235W" 60.051 45 20
"222" "YPL236C" 59.984 50 20
"223" "YPL237W" 59.993 45 20
"224" "YPL239W" 60.124 50 20
"225" "YPL240C" 59.993 45 20
"226" "YPL241C" 59.904 50 20
"227" "YPL242C" 60.003 45 20
"228" "YPL243W" 59.984 50 20
"229" "YPL244C" 60.096 50 20
"230" "YPL245W" 60.096 45 20
"231" "YPL246C" 60.068 50 20
"232" "YPL247C" 59.988 55 20
"233" "YPL248C" 59.992 50 20
"234" "YPL249C" 59.991 40 20
"235" "YPL250C" 59.87 50 20
"236" "YPL252C" 60.104 60 20
"237" "YPL253C" 60.081 40 20
"238" "YPL254W" 59.999 50 20
"239" "YPL255W" 59.997 55 20
"240" "YPL256C" 60.025 50 20
"241" "YPL257W" 59.647 45 20
"242" "YPL258C" 60.011 50 20
"243" "YPL259C" 59.948 50 20
"244" "YPL260W" 60.011 50 20
"245" "YPL262W" 60.016 55 20
"246" "YPL263C" 59.992 50 20
"247" "YPL264C" 59.964 45 20
"248" "YPL265W" 59.997 55 20
"249" "YPL266W" 60.12 55 20
"250" "YPL267W" 60.11 45 20
"251" "YPL268W" 59.978 55 20
"252" "YPL269W" 60.042 50 20
"253" "YPL270W" 59.953 50 20
"254" "YPL271W" 59.929 45 20
"255" "YPL272C" 59.982 50 20
"256" "YPL273W" 59.904 50 20
"257" "YPL274W" 60 50 20
"258" "YPL275W" 60.074 45 20
"259" "YPL276W" 59.976 45 20
"260" "YPL277C" 59.989 55 20
"261" "YPL278C" 59.716 50 20
"262" "YPL279C" 60.012 55 20
"263" "YPL280W" 60.054 35 20
"264" "YPL281C" 60.012 55 20
"265" "YPL282C" 60.136 50 20
"266" "YPL283C" 59.978 55 20
"267" "YPR001W" 59.962 55 20
"268" "YPR002W" 59.99 50 20
"269" "YPR003C" 59.955 50 20
"270" "YPR004C" 60.014 45 20
"271" "YPR005C" 60.017 50 20
"272" "YPR006C" 59.951 50 20
"273" "YPR007C" 59.849 40 20
"274" "YPR008W" 59.96 45 20
"275" "YPR009W" 60.081 45 20
"276" "YPR010C" 59.953 50 20
"277" "YPR011C" 59.993 55 20
"278" "YPR013C" 60.111 50 20
"279" "YPR015C" 60.005 50 20
"280" "YPR016C" 59.894 45 20
"281" "YPR017C" 59.966 50 20
"282" "YPR018W" 59.993 45 20
"283" "YPR019W" 60.042 50 20
"284" "YPR020W" 59.734 45 20
"285" "YPR021C" 60.088 45 20
"286" "YPR022C" 59.964 45 20
"287" "YPR023C" 59.991 45 20
"288" "YPR024W" 59.989 55 20
"289" "YPR025C" 59.985 45 20
"290" "YPR026W" 60 50 20
"291" "YPR027C" 59.995 45 20
"292" "YPR028W" 59.883 45 20
"293" "YPR029C" 59.988 45 20
"294" "YPR030W" 59.993 50 20
"295" "YPR031W" 60.013 45 20
"296" "YPR032W" 59.989 55 20
"297" "YPR033C" 59.971 50 20
"298" "YPR034W" 60.096 50 20
"299" "YPR035W" 59.966 50 20
"300" "YPR036W" 59.988 45 20
"301" "YPR037C" 60.008 45 20
"302" "YPR040W" 60.112 55 20
"303" "YPR041W" 59.943 50 20
"304" "YPR042C" 59.973 50 20
"305" "YPR043W" 59.263 55 20
"306" "YPR045C" 59.993 50 20
"307" "YPR046W" 59.975 50 20
"308" "YPR047W" 59.984 50 20
"309" "YPR048W" 59.997 55 20
"310" "YPR049C" 60.009 40 20
"311" "YPR051W" 59.997 55 20
"312" "YPR052C" 60.443 50 20
"313" "YPR054W" 59.993 45 20
"314" "YPR055W" 59.88 40 20
"315" "YPR056W" 60.119 50 20
"316" "YPR057W" 59.962 50 20
"317" "YPR058W" 59.995 45 20
"318" "YPR060C" 59.964 40 20
"319" "YPR061C" 60.044 50 20
"320" "YPR062W" 60.005 55 20
"321" "YPR063C" 60.247 50 20
"322" "YPR065W" 59.962 50 20
"323" "YPR066W" 59.933 50 20
"324" "YPR067W" 59.998 50 20
"325" "YPR068C" 59.992 55 20
"326" "YPR069C" 59.989 50 20
"327" "YPR070W" 59.835 60 20
"328" "YPR071W" 59.988 40 20
"329" "YPR072W" 60.008 55 20
"330" "YPR073C" 59.795 40 20
"331" "YPR074C" 59.904 50 20
"332" "YPR075C" 60.014 45 20
"333" "YPR078C" 59.989 50 20
"334" "YPR079W" 59.993 45 20
"335" "YPR080W" 59.98 55 20
"336" "YPR081C" 60.05 50 20
"337" "YPR082C" 60.008 55 20
"338" "YPR083W" 59.989 55 20
"339" "YPR084W" 59.948 50 20
"340" "YPR085C" 59.992 50 20
"341" "YPR086W" 59.864 45 20
"342" "YPR088C" 60.027 45 20
"343" "YPR089W" 59.903 50 20
"344" "YPR091C" 59.989 55 20
"345" "YPR093C" 60.049 40 20
"346" "YPR094W" 59.198 45 20
"347" "YPR095C" 59.962 55 20
"348" "YPR096C" 60.074 45 20
"349" "YPR097W" 60.012 35 20
"350" "YPR098C" 59.973 50 20
"351" "YPR100W" 60.119 50 20
"352" "YPR101W" 60.041 50 20
"353" "YPR102C" 59.982 55 20
"354" "YPR103W" 59.982 50 20
"355" "YPR104C" 59.964 45 20
"356" "YPR105C" 60.008 55 20
"357" "YPR106W" 60.011 50 20
"358" "YPR107C" 59.784 50 20
"359" "YPR108W" 60.014 45 20
"360" "YPR109W" 59.992 50 20
"361" "YPR110C" 60.073 45 20
"362" "YPR111W" 59.992 40 20
"363" "YPR112C" 60.014 50 20
"364" "YPR113W" 59.96 50 20
"365" "YPR114W" 59.993 50 20
"366" "YPR115W" 60.067 45 20
"367" "YPR116W" 60.051 45 20
"368" "YPR117W" 59.992 45 20
"369" "YPR118W" 59.982 50 20
"370" "YPR119W" 59.892 45 20
"371" "YPR120C" 60.059 50 20
"372" "YPR121W" 59.963 50 20
"373" "YPR122W" 60.074 45 20
"374" "YPR124W" 60.05 50 20
"375" "YPR125W" 59.917 50 20
"376" "YPR127W" 59.989 50 20
"377" "YPR128C" 59.942 45 20
"378" "YPR129W" 60.025 50 20
"379" "YPR131C" 59.978 55 20
"380" "YPR132W" 60.05 50 20
"381" "YPR133C" 59.978 45 20
"382" "YPR134W" 59.993 50 20
"383" "YPR135W" 60.006 50 20
"384" "YPR137W" 59.982 45 20
"385" "YPR138C" 60.015 55 20
"386" "YPR139C" 59.859 50 20
"387" "YPR140W" 60.048 55 20
"388" "YPR141C" 59.938 40 20
"389" "YPR143W" 59.894 50 20
"390" "YPR144C" 60.119 50 20
"391" "YPR145W" 60.022 55 20
"392" "YPR147C" 59.989 55 20
"393" "YPR148C" 60.037 50 20
"394" "YPR149W" 60 50 20
"395" "YPR151C" 60 50 20
"396" "YPR152C" 59.955 55 20
"397" "YPR153W" 60.089 50 20
"398" "YPR154W" 60.002 55 20
"399" "YPR155C" 60.034 50 20
"400" "YPR156C" 59.973 50 20
"401" "YPR157W" 60.011 50 20
"402" "YPR158W" 59.943 50 20
"403" "YPR159W" 60.017 50 20
"404" "YPR160W" 59.948 55 20
"405" "YPR161C" 59.973 50 20
"406" "YPR162C" 59.989 55 20
"407" "YPR163C" 59.959 55 20
"408" "YPR164W" 59.988 45 20
"409" "YPR165W" 59.938 40 20
"410" "YPR166C" 60.134 55 20
"411" "YPR167C" 59.971 45 20
"412" "YPR168W" 60.111 55 20
"413" "YPR169W" 59.933 50 20
"414" "YPR171W" 59.993 50 20
"415" "YPR172W" 59.984 50 20
"416" "YPR173C" 60 50 20
"417" "YPR174C" 59.903 45 20
"418" "YPR175W" 60.022 55 20
"419" "YPR176C" 59.993 50 20
"420" "YPR178W" 60.119 50 20
"421" "YPR179C" 59.973 50 20
"422" "YPR180W" 59.933 45 20
"423" "YPR181C" 60.005 60 20
"424" "YPR182W" 60.986 55 20
"425" "YPR183W" 59.992 50 20
"426" "YPR184W" 59.976 45 20
"427" "YPR185W" 59.929 50 20
"428" "YPR186C" 59.997 55 20
"429" "YPR187W" 60.051 45 20
"430" "YPR188C" 59.927 50 20
"431" "YPR189W" 60.002 55 20
"432" "YPR190C" 59.996 40 20
"433" "YPR191W" 59.927 55 20
"434" "YPR192W" 60.036 50 20
"435" "YPR193C" 60.016 40 20
"436" "YPR194C" 59.969 55 20
"437" "YPR196W" 59.977 50 20
"438" "YPR198W" 60.067 45 20
"439" "YPR199C" 59.971 45 20
"440" "YPR200C" 60.096 50 20
"441" "YPR201W" 59.971 45 20
"442" "YPR202W" 60.24 45 20
"443" "YPR203W" 60.14 50 20
"444" "YPR204W" 59.978 55 20
"445" "YPR133W" 60.377 55 20
"446" "YPL249C" 60.202 45 20
"447" "YPL183W" 60.096 50 20
"448" "YPL257W" 59.933 45 20
"449" "YPL257W" 60.066 55 20
"450" "YPR137C" 59.933 45 20
"451" "YPR137C" 59.966 50 20
"452" "YPR158C" 59.933 45 20
"453" "YPR158C" 59.992 50 20
"454" "YPR158W" 59.933 45 20
"455" "YPR158W" 59.966 50 20
"456" "YPL060C" 59.933 45 20
"457" "YPL096C" 59.587 40 20
"458" "YPR036W" 60.823 55 20
"459" "YPR170W" 59.832 45 20
"460" "YPL189C" 59.775 40 20
"461" "YPL038W" 59.975 36.364 22
"462" "YPR108W" 59.682 50 20
"463" "YPL119C" 60.571 55 20
"464" "YPR145C" 59.716 45 20
"465" "YPR010C" 59.856 42.857 21
