ORF	Start BP	End BP	Length
YJL011C	414685	414200	485
YJL010C	419477	417477	2000
YJL009W	419770	420096	326
YJL008C	421578	419872	1706
YJL007C	422927	422613	314
YJL006C	424024	423053	971
YJL005W	425072	431152	6080
YJL004C	432115	431504	611
YJL003W	432559	432915	356
YJL002C	434566	433136	1430
YJL001W	435078	435841	763
YJR001W	436717	438525	1808
YJR002W	438779	440560	1781
YJR003C	442527	440908	1619
YJR004C	444775	442823	1952
YJR005W	445837	447939	2102
YJR005C-A	448672	448391	281
YJR006W	449116	450579	1463
YJR007W	450934	451848	914
YJR008W	452344	453360	1016
YJR009C	454595	453597	998
YJR010W	456153	457688	1535
YJR010C-A	458275	457991	284
YJR011C	459340	458555	785
YJR013W	460296	461507	1211
YJR012C	460332	459709	623
YJR014W	461743	462339	596
YJR015W	462635	464167	1532
YJR016C	466122	464365	1757
YJR018W	466700	467062	362
YJR017C	466947	466435	512
YJR020W	467915	468247	332
YJR019C	468195	467146	1049
YJR021C	469493	468469	1024
YJR022W	469698	470027	329
YJR023C	470119	469718	401
YJR024C	470878	470144	734
YJR025C	471585	471052	533
YJR030C	486110	483873	2237
YJR031C	490726	486500	4226
YJR032W	490995	492176	1181
YJR033C	496365	492292	4073
YJR034W	496597	496923	326
YJR035W	497269	500526	3257
YJR037W	503016	503399	383
YJR036C	503305	500627	2678
YJR039W	503850	507215	3365
YJR038C	503986	503624	362
YJR040W	507660	509999	2339
YJR041C	513677	510153	3524
YJR042W	513969	516203	2234
YJR043C	517427	516375	1052
YJR044C	519099	518677	422
YJR045C	521516	519552	1964
YJR046W	521962	523776	1814
YJR047C	525295	524822	473
YJR048W	526249	526578	329
YJR049C	528390	526798	1592
YJR050W	528611	529318	707
YJR051W	529775	531280	1505
YJR052W	531976	533673	1697
YJR053W	533941	535665	1724
YJR054W	535970	537463	1493
YJR055W	538686	539180	494
YJR056C	542416	541706	710
YJR057W	543976	544626	650
YJR058C	545089	544646	443
YJR059W	545701	548157	2456
YJR060W	548673	549728	1055
YJR061W	550425	553232	2807
YJR062C	554763	553390	1373
YJR063W	555109	555486	377
YJR064W	555828	557516	1688
YJR065C	559072	557723	1349
YJR066W	559330	566742	7412
YJR067C	567358	566933	425
YJR068W	567557	568618	1061
YJR069C	569313	568720	593
YJR071W	570319	570687	368
YJR070C	570512	569535	977
YJR072C	572038	570881	1157
YJR073C	572849	572229	620
YJR074W	573009	573665	656
YJR075W	573895	575085	1190
YJR076C	576515	575268	1247
YJR077C	578104	577169	935
YJR078W	578774	580135	1361
YJR079W	580119	581153	1034
YJR080C	581530	580346	1184
YJR082C	582169	581828	341
YJR083C	583451	582522	929
YJR084W	583647	584918	1271
YJR085C	585351	585034	317
YJR086W	585982	586314	332
YJR087W	586314	586664	350
YJR088C	587287	586409	878
YJR089W	587632	590496	2864
YJR090C	594241	590786	3455
YJR091C	598250	594975	3275
YJR092W	598649	602995	4346
YJR093C	604120	603137	983
YJR094C	605568	604486	1082
YJR094W-A	608222	608775	553
YJR095W	609690	610658	968
YJR096W	611112	611960	848
YJR097W	612330	612848	518
YJR098C	615070	613103	1967
YJR099W	615490	616200	710
YJR100C	617248	616265	983
YJR101W	618148	618948	800
YJR102C	619679	619071	608
YJR103W	620668	622362	1694
YJR104C	622927	622463	464
YJR105W	623494	624516	1022
YJR106W	624751	626928	2177
YJR107W	627254	628240	986
YJR108W	628627	628998	371
YJR109C	632856	629500	3356
YJR110W	633530	635596	2066
YJR111C	636621	635770	851
YJR112W	636945	637550	605
YJR112W-A	637705	638083	378
YJR114W	638574	638966	392
YJR113C	638890	638147	743
YJR115W	639857	640366	509
YJR116W	640740	641579	839
YJR117W	641922	643283	1361
YJR118C	644016	643405	611
YJR119C	646405	644219	2186
YJR120W	647041	647391	350
YJR121W	647522	649057	1535
YJR122W	649691	651184	1493
YJR123W	651816	652493	677
YJR124C	654153	652807	1346
YJR125C	655878	654652	1226
YJR126C	658604	656169	2435
YJR128W	662836	663195	359
YJR127C	662974	658832	4142
YJR129C	664934	663915	1019
YJR130C	667052	665133	1919
YJR131W	667559	669208	1649
YJR132W	669437	672583	3146
YJR133W	672906	673535	629
YJR134C	675767	673644	2123
YJR135C	676693	675974	719
YJR135W-A	676886	677149	263
YJR136C	678621	677356	1265
YJR137C	683200	678872	4328
YJR138W	684482	689236	4754
YJR139C	690439	689360	1079
YJR140W-A	690876	691025	149
YJR140C	695611	690665	4946
YJR141W	695821	696864	1043
YJR142W	697056	698084	1028
YJR143C	700529	698241	2288
YJR144W	700797	701606	809
YJR145C	702983	701942	1041
YJR146W	703800	704153	353
YJR147W	704111	705187	1076
YJR148W	705659	706789	1130
YJR149W	707075	708289	1214
YJR150C	709622	708726	896
YJR151C	715655	712170	3485
YJR151W-A	717495	717545	50
YJR152W	719581	721212	1631
YJR153W	722730	723815	1085
YJR154W	725699	726739	1040
YJR155W	727320	728186	866
YJR156C	729511	728489	1022
YJR157W	730430	730792	362
YJR158W	732355	734058	1703
YJR159W	735959	737032	1073
YJR160C	739731	737923	1808
YJR161C	743914	742763	1151
YJR162C	745176	744826	350
YKL225W	452	799	347
YKL224C	2182	1811	371
YKL223W	2390	2722	332
YKL222C	5621	3504	2117
YKL221W	6108	7529	1421
YKL220C	11227	9092	2135
YKL219W	14485	15708	1223
YKL218C	18339	17359	980
YKL217W	22234	24084	1850
YKL216W	25216	26160	944
YKL215C	30688	26828	3860
YKL214C	31694	31083	611
YKL213C	34108	31961	2147
YKL212W	34544	36415	1871
YKL211C	38154	36700	1454
YKL210W	39164	42238	3074
YKL209C	46296	42424	3872
YKL208W	47158	47973	815
YKL207W	48108	48956	848
YKL206C	49810	49007	803
YKL205W	50052	53354	3302
YKL204W	53705	55603	1898
YKL203C	63360	55936	7424
YKL202W	63822	64403	581
YKL201C	67467	63931	3536
YKL198C	70223	68274	1949
YKL197C	73870	70739	3131
YKL196C	75539	74937	602
YKL195W	75826	77037	1211
YKL194C	78651	77263	1388
YKL193C	79887	78871	1016
YKL192C	80542	80165	377
YKL191W	81040	82644	1604
YKL190W	82952	83555	603
YKL189W	84709	85908	1199
YKL188C	88791	86230	2561
YKL187C	91541	89289	2252
YKL186C	93303	92749	554
YKL185W	94504	96270	1766
YKL184W	96762	98162	1400
YKL183C-A	98612	98400	212
YKL183W	98726	99646	920
YKL182W	100676	106831	6155
YKL181W	107321	108604	1283
YKL180W	109274	110134	860
YKL179C	112508	110469	2039
YKL177W	114361	114699	338
YKL178C	114632	113220	1412
YKL176C	117991	115505	2486
YKL175W	118798	120309	1511
YKL174C	122241	120385	1856
YKL173W	122522	125548	3026
YKL172W	125764	127047	1283
YKL171W	127480	130266	2786
YKL170W	130639	131055	416
YKL169C	131073	130690	383
YKL168C	133497	131293	2204
YKL167C	134139	133726	413
YKL166C	135710	134514	1196
YKL165C-A	136028	135795	233
YKL165C	140696	137937	2759
YKL164C	142824	141799	1025
YKL163W	144406	145383	977
YKL162C-A	146079	145927	152
YKL162C	148843	147635	1208
YKL161C	150692	149391	1301
YKL160W	153274	153711	437
YKL159C	154456	153821	635
YKL157W	154996	158186	3190
YKL156W	158619	159217	598
YKL156C-A	159096	158980	116
YKL155C	161347	159461	1886
YKL154W	161606	162340	734
YKL153W	163605	164114	509
YKL152C	164390	163647	743
YKL151C	165935	164922	1013
YKL150W	166549	167457	908
YKL149C	168834	167617	1217
YKL148C	171134	169212	1922
YKL146W	171788	173866	2078
YKL147C	172173	171556	617
YKL145W	174218	175621	1403
YKL145W-A	174963	175055	92
YKL144C	176486	175848	638
YKL143W	176786	178177	1391
YKL142W	178520	179179	659
YKL141W	179672	180268	596
YKL140W	180784	182430	1646
YKL139W	182963	184549	1586
YKL138C-A	185017	184808	209
YKL138C	185686	185291	395
YKL137W	185988	186299	311
YKL136W	186423	186821	398
YKL135C	188647	186467	2180
YKL134C	191443	189131	2312
YKL133C	193071	191680	1391
YKL131W	194479	195000	521
YKL132C	194867	193575	1292
YKL130C	196029	195289	740
YKL129C	200165	196350	3815
YKL128C	201417	200530	887
YKL127W	203187	204899	1712
YKL126W	205353	207395	2042
YKL125W	207893	209776	1883
YKL124W	210239	211978	1739
YKL123W	211689	212069	380
YKL122C	212644	212141	503
YKL121W	213788	216346	2558
YKL120W	216990	217964	974
YKL118W	218772	219083	311
YKL119C	218863	218216	647
YKL117W	219970	220620	650
YKL116C	222546	220990	1556
YKL115C	222931	222539	392
YKL114C	224101	222998	1103
YKL113C	225521	224373	1148
YKL112W	226216	228411	2195
YKL111C	228445	228110	335
YKL110C	229526	228585	941
YKL109W	231873	233537	1664
YKL108W	234072	235433	1361
YKL107W	235787	236716	929
YKL106C-A	236912	236793	119
YKL106W	237182	238537	1355
YKL105C	242229	238831	3398
YKL104C	245019	242866	2153
YKL103C	247328	245784	1544
YKL102C	248013	247708	305
YKL101W	248566	253122	4556
YKL100W-A	253805	253894	89
YKL100C	255106	253343	1763
YKL099C	256117	255347	770
YKL098W	256415	257488	1073
YKL097C	258558	258148	410
YKL096C-B	258867	258718	149
YKL096W-A	258898	259176	278
YKL096W	260777	261496	719
YKL095W	261922	262758	836
YKL094W	262994	263935	941
YKL093W	264434	265453	1019
YKL092C	269104	265790	3314
YKL091C	270295	269363	932
YKL090W	271523	272854	1331
YKL089W	273039	274688	1649
YKL088W	274928	276643	1715
YKL087C	277508	276834	674
YKL086W	277926	278309	383
YKL085W	278768	279772	1004
YKL084W	280154	280504	350
YKL083W	280566	281180	614
YKL082C	281974	280670	1304
YKL081W	282536	284100	1564
YKL080W	284675	285853	1178
YKL079W	286248	288218	1970
YKL078W	288490	290697	2207
YKL077W	291098	292276	1178
YKL076C	292866	292483	383
YKL075C	293953	292601	1352
YKL074C	295838	294255	1583
YKL073W	296075	298720	2645
YKL072W	299227	301527	2300
YKL071W	304759	305529	770
YKL070W	305856	306365	509
YKL069W	306930	307472	542
YKL068W-A	308851	309087	236
YKL068W	309844	312723	2879
YKL067W	314457	314918	461
YKL066W	314926	315369	443
YKL065C	316702	316082	620
YKL064W	317409	320318	2909
YKL063C	321163	320660	503
YKL062W	322873	324765	1892
YKL061W	325416	325757	341
YKL060C	327132	326053	1079
YKL059C	329088	327763	1325
YKL058W	329811	330179	368
YKL057C	333614	330501	3113
YKL056C	334560	334057	503
YKL055C	335802	334966	836
YKL054C	338398	336182	2216
YKL053C-A	339087	338827	260
YKL053W	339217	339591	374
YKL052C	340191	339313	878
YKL051W	340957	342018	1061
YKL050C	345265	342497	2768
YKL049C	346409	345720	689
YKL048C	348781	346859	1922
YKL047W	349108	350658	1550
YKL046C	352269	350920	1349
YKL045W	353138	354724	1586
YKL044W	355967	356287	320
YKL043W	356393	357493	1100
YKL042W	358120	359211	1091
YKL041W	359787	360461	674
YKL040C	361472	360702	770
YKL039W	362266	363861	1595
YKL038W	365248	368760	3512
YKL037W	369008	369364	356
YKL035W	369534	371033	1499
YKL036C	369563	369171	392
YKL034W	371472	373748	2276
YKL033W-A	374148	374858	710
YKL033W	375099	378215	3116
YKL032C	381501	379708	1793
YKL031W	381715	382128	413
YKL030W	382141	382746	605
YKL029C	384368	382359	2009
YKL028W	385401	386849	1448
YKL027W	387205	388548	1343
YKL026C	389526	389023	503
YKL025C	391922	389883	2039
YKL024C	392783	392169	614
YKL023W	393364	394197	833
YKL022C	396891	394369	2522
YKL021C	398393	396987	1406
YKL020C	401723	398475	3248
YKL019W	402211	403161	950
YKL018C-A	403522	403223	299
YKL018W	403745	404734	989
YKL017C	406884	404833	2051
YKL016C	407632	407108	524
YKL015W	408187	411126	2939
YKL014C	416556	411262	5294
YKL013C	417666	417151	515
YKL012W	417953	419704	1751
YKL011C	420859	419798	1061
YKL010C	425518	421067	4451
YKL009W	425885	426595	710
YKL008C	428194	426938	1256
YKL007W	428945	429751	806
YKL006C-A	430275	429841	434
YKL006W	431549	432363	814
YKL005C	434520	432736	1784
YKL004W	435223	436428	1205
YKL003C	437135	436740	395
YKL002W	437421	438187	766
YKL001C	439028	438420	608
YKR001C	442365	440251	2114
YKR002W	442875	444581	1706
YKR003W	445024	446370	1346
YKR004C	447679	446442	1237
YKR005C	449507	448164	1343
YKR006C	450860	450066	794
YKR007W	451077	451631	554
YKR008W	451844	453721	1877
YKR009C	456697	453995	2702
YKR010C	460882	458567	2315
YKR011C	462339	461278	1061
YKR013W	463602	464591	989
YKR012C	463759	463382	377
YKR014C	465714	465010	704
YKR015C	468310	466604	1706
YKR016W	469360	470982	1622
YKR017C	472992	471337	1655
YKR018C	475543	473366	2177
YKR019C	477706	475859	1847
YKR020W	477981	478475	494
YKR021W	478877	481624	2747
YKR022C	482782	481814	968
YKR023W	483062	484654	1592
YKR024C	487015	484787	2228
YKR025W	487413	488261	848
YKR026C	489298	488381	917
YKR027W	491007	493304	2297
YKR028W	493900	497196	3296
YKR029C	499475	497220	2255
YKR030W	499924	500745	821
YKR031C	506037	500986	5051
YKR032W	506159	506473	314
YKR034W	506540	507349	809
YKR033C	506946	506521	425
YKR035W-A	507581	508195	614
YKR035C	508203	507562	641
YKR036C	510323	508344	1979
YKR037C	511439	510552	887
YKR038C	512801	511641	1160
YKR039W	514705	516513	1808
YKR041W	517840	518592	752
YKR040C	518208	517705	503
YKR042W	518914	520266	1352
YKR043C	521354	520539	815
YKR044W	521657	522988	1331
YKR045C	523611	523060	551
YKR046C	524716	523865	851
YKR047W	524899	525204	305
YKR048C	526282	525029	1253
YKR049C	526873	526472	401
YKR050W	527457	530126	2669
YKR051W	530588	531844	1256
YKR052C	533106	532192	914
YKR053C	534923	533709	1214
YKR054C	547567	535289	12278
YKR055W	547858	548733	875
YKR056W	549090	551009	1919
YKR057W	551299	551884	585
YKR058W	552820	554262	1442
YKR059W	554629	555816	1187
YKR060W	556160	556984	824
YKR061W	557319	558596	1277
YKR062W	559308	560294	986
YKR063C	561939	560431	1508
YKR064W	562189	564780	2591
YKR065C	565534	564941	593
YKR066C	566840	565755	1085
YKR067W	567560	569791	2231
YKR068C	570551	569970	581
YKR069W	571254	573035	1781
YKR070W	573216	574274	1058
YKR071C	575622	574576	1046
YKR072C	577765	576077	1688
YKR073C	578149	577829	320
YKR074W	578851	579318	467
YKR075W-A	579854	580123	269
YKR075C	580392	579469	923
YKR076W	581925	583037	1112
YKR077W	583295	584386	1091
YKR078W	584594	586351	1757
YKR079C	588947	586431	2516
YKR080W	590037	590999	962
YKR081C	592182	591148	1034
YKR082W	592467	595940	3473
YKR083C	596464	596063	401
YKR084C	598532	596697	1835
YKR085C	599323	598736	587
YKR086W	599499	602714	3215
YKR087C	603874	602837	1037
YKR088C	605060	604047	1013
YKR089C	608007	605275	2732
YKR090W	608588	610708	2120
YKR091W	611167	611907	740
YKR092C	613527	612307	1220
YKR093W	615372	617177	1805
YKR094C	618392	617638	754
YKR095W	619447	625074	5627
YKR095W-A	625506	625847	341
YKR096W	626435	630022	3587
YKR097W	630790	632439	1649
YKR098C	634817	632664	2153
YKR099W	635489	637924	2435
YKR100C	639606	638539	1067
YKR101W	640106	642142	2036
YKR102W	645994	649503	3509
YKR103W	652718	656374	3656
YKR104W	656474	657394	920
YKR105C	660102	658354	1748
YKR106W	661080	662927	1847
YLL067W-A	843	1325	482
YLL067C	4301	585	3716
YLL066W-B	5605	5775	170
YLL066W-A	6486	6968	482
YLL066C	9836	6120	3716
YLL065W	11726	12076	350
YLL064C	13445	13083	362
YLL063C	16072	14648	1424
YLL062C	17613	16639	974
YLL061W	17956	19707	1751
YLL060C	21839	21138	701
YLL059C	22980	22474	506
YLL058W	23569	25296	1727
YLL057C	26994	25756	1238
YLL056C	28305	27409	896
YLL055W	30109	31704	1595
YLL054C	35203	32894	2309
YLL053C	35960	35502	458
YLL052C	36360	35911	449
YLL051C	39470	37332	2138
YLL050C	40413	39803	610
YLL049W	40665	41204	539
YLL048C	46264	41279	4985
YLL047W	46671	47054	383
YLL046C	47462	46713	749
YLL044W	48215	48661	446
YLL045C	48628	47858	770
YLL043W	49937	51946	2009
YLL042C	52589	52086	503
YLL041C	53930	53130	800
YLL040C	63644	54210	9434
YLL039C	65206	64061	1145
YLL038C	66517	65774	743
YLL037W	66561	66941	380
YLL036C	68255	66744	1511
YLL035W	68579	70477	1898
YLL034C	73145	70632	2513
YLL033W	73408	74100	692
YLL032C	76746	74269	2477
YLL031C	80204	77151	3053
YLL030C	80696	80355	341
YLL029W	81460	83709	2249
YLL028W	84803	86563	1760
YLL027W	87402	88154	752
YLL026W	88622	91348	2726
YLL025W	94746	95120	374
YLL024C	97484	95565	1919
YLL023C	98835	97996	839
YLL022C	100200	99043	1157
YLL021W	100946	105346	4400
YLL020C	105860	105555	305
YLL019W-A	106907	106999	92
YLL019C	107898	105685	2213
YLL018C-A	108971	108675	296
YLL018C	111574	109901	1673
YLL015W	116431	121110	4679
YLL014W	121321	121647	326
YLL013C	124713	122074	2639
YLL012W	125533	127254	1721
YLL011W	127522	128991	1469
YLL010C	130612	129329	1283
YLL009C	131413	131204	209
YLL008W	131728	133986	2258
YLL007C	136298	134301	1997
YLL006W-A	136344	136520	176
YLL006W	136585	137865	1280
YLL005C	140545	137939	2606
YLL004W	141072	142922	1850
YLL003W	143200	146040	2840
YLL002W	146290	147600	1310
YLL001W	147889	150162	2273
YLR001C	153976	151388	2588
YLR002C	156333	154342	1991
YLR003C	157729	156854	875
YLR004C	159504	157933	1571
YLR005W	160048	161433	1385
YLR006C	163892	161754	2138
YLR007W	164391	165401	1010
YLR008C	166082	165576	506
YLR009W	166536	167135	599
YLR010C	167801	167319	482
YLR011W	169102	169677	575
YLR012C	170280	169981	299
YLR013W	171338	171763	425
YLR014C	174981	172267	2714
YLR015W	175226	176743	1517
YLR016C	177415	176801	614
YLR017W	177607	178620	1013
YLR018C	179605	178706	899
YLR019W	180287	181480	1193
